Name of the Political Party,Total Amount,Percentage
AAM AADMI PARTY,654500000,0.538438804870863
ADYAKSHA SAMAJVADI PARTY,140500000,0.11558541189359245
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,60500000,0.04977165423176045
ALL INDIA TRINAMOOL CONGRESS,16095314000,13.241163688588648
BHARAT RASHTRA SAMITHI,12147099000,9.993077873503523
BHARTIYA JANTA PARTY,60605111000,49.85812610528036
BIHAR PRADESH JANTA DAL(UNITED),140000000,0.11517407590820601
BIJU JANATA DAL,7755000000,6.37982113334384
DMK PARTY IN PARLIAMENT,6390000000,5.256873893238831
GOA FORWARD PARTY,3500000,0.00287935189770515
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000,0.0041133598538644995
JANASENA PARTY,210000000,0.172761113862309
JANATA DAL ( SECULAR ),435000000,0.3578623072862115
JHARKHAND MUKTI MORCHA,135000000,0.1110607160543415
MAHARASHTRAWADI GOMNTAK PARTY,5500000,0.00452469583925095
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,5000000,0.0041133598538644995
NATIONALIST CONGRESS PARTY PARLIAMENT OF,305000000,0.25091495108573453
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14218655000,11.697288930589949
RASHTRIYA JANTA DAL,10000000,0.008226719707728999
RASTRIYA JANTA DAL,725000000,0.5964371788103525
SHIROMANI AKALI DAL,72600000,0.05972598507811254
SHIVSENA,10000000,0.008226719707728999
SHIVSENA (POLITICAL PARTY),1583814000,1.30295938471771
SIKKIM DEMOCRATIC FRONT,55000000,0.0452469583925095
SIKKIM KRANTIKARI MORCHA,365000000,0.3002752693321085
TELUGU DESAM PARTY,2188800000,1.8006644096277236
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R),3370000000,2.772404541504673
